input size,select - time taken,select - number operations
0,6.1666e-11,0
3,1.61056e-08,0
6,1.66617e-08,0
9,1.11106e-08,0
12,2.17212e-08,0
15,2.17178e-08,0
18,2.77772e-08,0
21,2.78233e-08,0
24,3.83883e-08,0
27,6.82822e-08,0
30,2.26782e-08,0
33,3.52172e-08,0
36,2.68328e-08,0
39,2.78283e-08,0
42,3.37385e-08,0
45,3.61966e-08,0
48,7.19334e-08,0
51,1.45711e-07,0
54,5.43929e-08,0
57,5.00902e-08,0
60,4.55946e-08,0
63,4.94455e-08,0
66,6.0029e-08,0
69,4.54491e-08,0
72,5.99966e-08,0
75,1.81126e-07,0
78,4.6126e-08,0
81,7.68411e-08,0
84,7.14671e-08,0
87,8.2101e-08,0
90,7.64678e-08,0
93,7.66808e-08,0
96,1.09189e-07,0
99,6.74411e-08,0
102,7.87267e-08,0
105,7.06565e-08,0
108,8.57731e-08,0
111,1.27821e-07,0
114,7.0776e-08,0
117,9.34331e-08,0
120,1.00814e-07,0
123,9.3374e-08,0
126,7.41292e-08,0
129,1.06949e-07,0
132,9.56959e-08,0
135,7.72884e-08,0
138,1.16931e-07,0
141,1.07446e-07,0
144,7.48949e-08,0
147,5.96751e-08,0
150,1.64026e-07,0
153,1.10004e-07,0
156,9.95053e-08,0
159,7.98016e-08,0
162,1.21707e-07,0
165,1.05664e-07,0
168,1.31768e-07,0
171,1.40401e-07,0
174,1.10911e-07,0
177,2.38697e-07,0
180,1.60534e-07,0
183,1.50968e-07,0
186,2.10767e-07,0
189,1.40078e-07,0
192,2.5886e-07,0
195,1.77729e-07,0
198,1.29969e-07,0
201,2.47484e-07,0
204,1.2527e-07,0
207,3.16192e-07,0
210,1.26365e-07,0
213,2.25171e-07,0
216,1.93985e-07,0
219,1.83613e-07,0
222,1.62124e-07,0
225,1.36539e-07,0
228,1.55007e-07,0
231,2.18263e-07,0
234,3.49283e-07,0
237,1.58372e-07,0
240,2.08037e-07,0
243,1.89466e-07,0
246,1.6858e-07,0
249,1.82127e-07,0
252,2.23179e-07,0
255,2.21803e-07,0
258,1.96146e-07,0
261,2.94014e-07,0
264,1.65149e-07,0
267,1.58818e-07,0
270,2.86543e-07,0
273,2.31593e-07,0
276,1.67528e-07,0
279,2.49558e-07,0
282,1.59327e-07,0
285,5.0637e-07,0
288,1.89968e-07,0
291,1.62041e-07,0
294,1.62996e-07,0
297,1.49622e-07,0
300,2.54792e-07,0
303,1.82636e-07,0
306,1.70557e-07,0
309,1.78263e-07,0
312,1.74257e-07,0
315,4.4691e-07,0
318,2.14847e-07,0
321,2.7354e-07,0
324,1.80144e-07,0
327,2.75148e-07,0
330,3.06536e-07,0
333,5.96882e-07,0
336,2.29247e-07,0
339,3.5261e-07,0
342,2.47839e-07,0
345,3.48951e-07,0
348,1.91624e-07,0
351,3.24912e-07,0
354,3.30443e-07,0
357,4.90151e-07,0
360,2.30505e-07,0
363,3.30651e-07,0
366,2.69605e-07,0
369,2.70585e-07,0
372,8.81016e-07,0
375,3.044e-07,0
378,6.85259e-07,0
381,3.71571e-07,0
384,3.97473e-07,0
387,2.98267e-07,0
390,3.72204e-07,0
393,3.50799e-07,0
396,9.42957e-07,0
399,2.53075e-07,0
402,3.28277e-07,0
405,2.34326e-07,0
408,5.51865e-07,0
411,4.96876e-07,0
414,1.01713e-06,0
417,1.17315e-06,0
420,1.10652e-06,0
423,4.19731e-07,0
426,2.27314e-07,0
429,3.31868e-07,0
432,6.12662e-07,0
435,4.6713e-07,0
438,5.038e-07,0
441,3.51932e-07,0
444,3.91127e-07,0
447,4.45891e-07,0
450,5.55588e-07,0
453,1.91201e-07,0
456,4.70676e-07,0
459,3.13974e-07,0
462,4.49975e-07,0
465,7.50813e-07,0
468,9.17684e-07,0
471,3.30089e-07,0
474,5.77832e-07,0
477,4.72378e-07,0
480,7.98364e-07,0
483,4.68067e-07,0
486,3.08059e-07,0
489,2.72395e-07,0
492,3.21971e-07,0
495,3.19539e-07,0
498,5.44799e-07,0
501,3.23376e-07,0
504,5.53691e-07,0
507,6.46494e-07,0
510,5.67435e-07,0
513,6.59149e-07,0
516,4.48011e-07,0
519,4.8719e-07,0
522,4.75723e-07,0
525,6.40785e-07,0
528,5.38454e-07,0
531,4.95961e-07,0
534,4.85924e-07,0
537,7.57875e-07,0
540,4.66695e-07,0
543,6.32554e-07,0
546,4.81283e-07,0
549,7.4766e-07,0
552,1.1662e-06,0
555,3.65315e-07,0
558,2.91806e-07,0
561,4.2214e-07,0
564,1.42201e-06,0
567,3.52485e-07,0
570,6.82946e-07,0
573,2.84995e-07,0
576,6.98148e-07,0
579,8.45174e-07,0
582,5.79643e-07,0
585,3.89983e-07,0
588,1.49593e-06,0
591,6.07258e-07,0
594,4.99016e-07,0
597,4.46127e-07,0
600,1.24505e-06,0
603,4.50778e-07,0
606,1.67742e-06,0
609,2.11637e-06,0
612,1.01391e-06,0
615,9.63608e-07,0
618,8.05981e-07,0
621,9.13405e-07,0
624,5.30939e-07,0
627,5.3838e-07,0
630,7.64913e-07,0
633,3.65406e-07,0
636,6.78136e-07,0
639,1.17753e-06,0
642,1.28526e-06,0
645,6.47559e-07,0
648,6.05261e-07,0
651,4.91807e-07,0
654,6.18853e-07,0
657,2.7742e-06,0
660,4.70109e-07,0
663,1.16476e-06,0
666,3.57185e-07,0
669,4.44695e-07,0
672,2.62237e-06,0
675,7.59062e-07,0
678,5.23108e-07,0
681,1.91179e-06,0
684,2.76927e-06,0
687,3.53335e-06,0
690,1.08534e-06,0
693,6.85502e-07,0
696,1.00102e-06,0
699,5.46632e-07,0
702,6.95929e-07,0
705,1.84375e-06,0
708,9.55844e-07,0
711,2.29349e-06,0
714,8.64852e-07,0
717,6.93362e-07,0
720,1.02933e-06,0
723,2.29176e-07,0
726,5.6622e-07,0
729,6.96882e-07,0
732,1.7378e-06,0
735,5.6599e-07,0
738,5.34952e-07,0
741,7.59434e-07,0
744,8.71093e-07,0
747,7.09221e-07,0
750,1.17645e-06,0
753,6.00934e-07,0
756,2.63041e-07,0
759,3.73575e-06,0
762,2.13671e-07,0
765,7.1271e-07,0
768,1.28886e-06,0
771,8.55289e-07,0
774,5.89173e-07,0
777,1.79942e-06,0
780,8.56889e-07,0
783,7.04906e-07,0
786,5.67556e-07,0
789,7.14445e-07,0
792,7.22189e-07,0
795,5.37944e-07,0
798,4.00553e-07,0
801,4.6788e-06,0
804,5.97674e-07,0
807,8.43986e-07,0
810,1.86299e-06,0
813,4.00537e-07,0
816,7.41364e-07,0
819,1.81524e-06,0
822,6.97015e-07,0
825,6.9351e-07,0
828,5.04548e-07,0
831,3.79913e-07,0
834,5.3535e-07,0
837,5.51124e-07,0
840,1.1641e-06,0
843,7.27162e-07,0
846,1.06632e-06,0
849,8.06614e-07,0
852,7.1639e-07,0
855,7.2407e-07,0
858,1.071e-06,0
861,1.37207e-06,0
864,5.67135e-07,0
867,5.20535e-07,0
870,6.62151e-07,0
873,9.06141e-07,0
876,7.4375e-07,0
879,5.33354e-07,0
882,7.61414e-07,0
885,1.03332e-06,0
888,7.14308e-07,0
891,5.33351e-06,0
894,7.11499e-07,0
897,4.1963e-07,0
900,7.49883e-07,0
903,1.19534e-06,0
906,8.03908e-07,0
909,1.03441e-06,0
912,7.17566e-07,0
915,1.38503e-06,0
918,1.14038e-06,0
921,9.73991e-07,0
924,2.28334e-06,0
927,1.1313e-06,0
930,7.49802e-07,0
933,1.73511e-06,0
936,8.26439e-07,0
939,1.07326e-06,0
942,7.16231e-07,0
945,7.48874e-07,0
948,7.24267e-07,0
951,7.14346e-07,0
954,1.38343e-06,0
957,3.91143e-06,0
960,1.38636e-07,0
963,8.43281e-07,0
966,7.59499e-07,0
969,1.31976e-06,0
972,2.95234e-06,0
975,1.38317e-06,0
978,7.11271e-07,0
981,1.38635e-06,0
984,1.03974e-06,0
987,6.08823e-06,0
990,1.10189e-06,0
993,1.03463e-06,0
996,1.60935e-06,0
